input_word,context_word
a,telecom
a,network
a,optimises
a,coverage
telecom,a
telecom,network
telecom,optimises
telecom,coverage
telecom,by
network,a
network,telecom
network,optimises
network,coverage
network,by
network,tuning
optimises,a
optimises,telecom
optimises,network
optimises,coverage
optimises,by
optimises,tuning
optimises,antenna
coverage,a
coverage,telecom
coverage,network
coverage,optimises
coverage,by
coverage,tuning
coverage,antenna
coverage,parameters
by,telecom
by,network
by,optimises
by,coverage
by,tuning
by,antenna
by,parameters
by,and
tuning,network
tuning,optimises
tuning,coverage
tuning,by
tuning,antenna
tuning,parameters
tuning,and
tuning,managing
antenna,optimises
antenna,coverage
antenna,by
antenna,tuning
antenna,parameters
antenna,and
antenna,managing
antenna,interference
parameters,coverage
parameters,by
parameters,tuning
parameters,antenna
parameters,and
parameters,managing
parameters,interference
parameters,between
and,by
and,tuning
and,antenna
and,parameters
and,managing
and,interference
and,between
and,neighbouring
managing,tuning
managing,antenna
managing,parameters
managing,and
managing,interference
managing,between
managing,neighbouring
managing,cells
interference,antenna
interference,parameters
interference,and
interference,managing
interference,between
interference,neighbouring
interference,cells
interference,bandwidth
between,parameters
between,and
between,managing
between,interference
between,neighbouring
between,cells
between,bandwidth
between,allocation
neighbouring,and
neighbouring,managing
neighbouring,interference
neighbouring,between
neighbouring,cells
neighbouring,bandwidth
neighbouring,allocation
neighbouring,supports
cells,managing
cells,interference
cells,between
cells,neighbouring
cells,bandwidth
cells,allocation
cells,supports
cells,voice
bandwidth,interference
bandwidth,between
bandwidth,neighbouring
bandwidth,cells
bandwidth,allocation
bandwidth,supports
bandwidth,voice
bandwidth,calls
allocation,between
allocation,neighbouring
allocation,cells
allocation,bandwidth
allocation,supports
allocation,voice
allocation,calls
allocation,video
supports,neighbouring
supports,cells
supports,bandwidth
supports,allocation
supports,voice
supports,calls
supports,video
supports,streaming
voice,cells
voice,bandwidth
voice,allocation
voice,supports
voice,calls
voice,video
voice,streaming
voice,and
calls,bandwidth
calls,allocation
calls,supports
calls,voice
calls,video
calls,streaming
calls,and
calls,data
video,allocation
video,supports
video,voice
video,calls
video,streaming
video,and
video,data
video,sessions
streaming,supports
streaming,voice
streaming,calls
streaming,video
streaming,and
streaming,data
streaming,sessions
streaming,during
and,voice
and,calls
and,video
and,streaming
and,data
and,sessions
and,during
and,peak
data,calls
data,video
data,streaming
data,and
data,sessions
data,during
data,peak
data,hours
sessions,video
sessions,streaming
sessions,and
sessions,data
sessions,during
sessions,peak
sessions,hours
sessions,fault
during,streaming
during,and
during,data
during,sessions
during,peak
during,hours
during,fault
during,management
peak,and
peak,data
peak,sessions
peak,during
peak,hours
peak,fault
peak,management
peak,monitors
hours,data
hours,sessions
hours,during
hours,peak
hours,fault
hours,management
hours,monitors
hours,dropped
fault,sessions
fault,during
fault,peak
fault,hours
fault,management
fault,monitors
fault,dropped
fault,calls
management,during
management,peak
management,hours
management,fault
management,monitors
management,dropped
management,calls
management,and
monitors,peak
monitors,hours
monitors,fault
monitors,management
monitors,dropped
monitors,calls
monitors,and
monitors,latency
dropped,hours
dropped,fault
dropped,management
dropped,monitors
dropped,calls
dropped,and
dropped,latency
dropped,spikes
calls,fault
calls,management
calls,monitors
calls,dropped
calls,and
calls,latency
calls,spikes
calls,through
and,management
and,monitors
and,dropped
and,calls
and,latency
and,spikes
and,through
and,network
latency,monitors
latency,dropped
latency,calls
latency,and
latency,spikes
latency,through
latency,network
latency,analytics
spikes,dropped
spikes,calls
spikes,and
spikes,latency
spikes,through
spikes,network
spikes,analytics
spikes,upgrades
through,calls
through,and
through,latency
through,spikes
through,network
through,analytics
through,upgrades
through,involve
network,and
network,latency
network,spikes
network,through
network,analytics
network,upgrades
network,involve
network,fibre
analytics,latency
analytics,spikes
analytics,through
analytics,network
analytics,upgrades
analytics,involve
analytics,fibre
analytics,backhaul
upgrades,spikes
upgrades,through
upgrades,network
upgrades,analytics
upgrades,involve
upgrades,fibre
upgrades,backhaul
upgrades,5g
involve,through
involve,network
involve,analytics
involve,upgrades
involve,fibre
involve,backhaul
involve,5g
involve,deployment
fibre,network
fibre,analytics
fibre,upgrades
fibre,involve
fibre,backhaul
fibre,5g
fibre,deployment
fibre,and
backhaul,analytics
backhaul,upgrades
backhaul,involve
backhaul,fibre
backhaul,5g
backhaul,deployment
backhaul,and
backhaul,careful
5g,upgrades
5g,involve
5g,fibre
5g,backhaul
5g,deployment
5g,and
5g,careful
5g,rollout
deployment,involve
deployment,fibre
deployment,backhaul
deployment,5g
deployment,and
deployment,careful
deployment,rollout
deployment,planning
and,fibre
and,backhaul
and,5g
and,deployment
and,careful
and,rollout
and,planning
careful,backhaul
careful,5g
careful,deployment
careful,and
careful,rollout
careful,planning
rollout,5g
rollout,deployment
rollout,and
rollout,careful
rollout,planning
planning,deployment
planning,and
planning,careful
planning,rollout
